No, Mode, Score, Avarage, Player Count, Player Timer, Boom, Shuffle, Extension, First Item
1, Buff, 99, 2.08338, 1, 144.1281, 5, 0, 0, Boom
2, Buff, 110, 4.120424, 1, 150.8331, 1, 2, 2, Boom
3, Buff, 79, 3.691549, 1, 121.333, 4, 1, 1, Shuffle
4, Nerf, 106, 2.068397, 1, 122.8336, 5, 2, 1, Boom
5, Buff, 78, NaN, 1, 157.7926, 0, 0, 0, None
6, Buff, 86, 3.12991, 2, 289.2662, 1, 3, 1, Shuffle
7, Buff, 79, 6.616203, 3, 411.4718, 5, 0, 0, Boom
8, Buff, 69, NaN, 0, 141.5257, 0, 0, 0, None
9, Buff, 68, 8.206113, 1, 272.2361, 5, 0, 0, Boom
10, Buff, 69, 6.389516, 2, 396.0891, 3, 0, 0, Boom
